タイムスタンプ,あなたはArsenalを見始めてどの程度ですか？,観戦会に参加されたことはありますか？,ちなみにどの観戦会に参加されましたか？,また参加したいですか？,観戦会に参加された方に聞きます。観戦会の感想をお聞かせください。できれば良かった、悪かった両方を教えてください。,どのようにアーセナルの情報を集められていますか？,"お勧めのサイトやTwitterアカウントなどありますか？( 複数回答可, 複数回答の際はアカウントごとに"",""か""、""で区切ってください)",グーナー(アーセナルファン)の集まり(観戦会を除く)に参加したことがある,参加したことがある方に質問します。どのような集まりに参加されましたか？,このようなコミュニティや集まりがあれば参加したいなどご意見があればお願いします。,観戦会に参加されたことがない方に質問します。観戦会に参加しずらいと感じたことはありますか？,こうしてくれると参加しやすいなど、観戦会参加しにくいと感じたことがあればご記入ください,その他、何かコメントやご意見があればお願いします。,,これらのアカウントをお勧めする理由を教えてください。
2022/02/06 10:45:41,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,もし最近グーナーになられた方であれば海外の記者をオススメするのも面白いかと思いました！（オーンスタイン、チャールズワッツ、ロマーノ等）,ある,#グナCoD部,,,,,,
2022/02/06 10:54:21,10年以上(!?),ある,ガナナイ(新潟),参加したい,リアルでグーナーの方と初めて話せて楽しかった。,"Twitter, インスタ",mygunner さるgooner,ない,,是非全国のグーナーと交流したいです。,,,,,
2022/02/06 10:55:53,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 10:56:04,10年以上(!?),ある,ガナナイ(新潟),参加したい,,"ニュースサイト, ブログ, Twitter",,ない,,,,,,,
2022/02/06 10:57:18,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, 情報雑誌",さるさん,ない,,新規、古参、知識、年齢に関係なく参加がしやすく、メンバーとアーセナルを楽しむためのコミュニティや集会。,,,,,
2022/02/06 10:57:45,10年以上(!?),ない,,,,Twitter,,ない,,,,,,,
2022/02/06 10:58:52,10年以上(!?),ない,,,,"ブログ, Twitter",,ない,,関東であれば参加したいです！,,,,,
2022/02/06 10:59:16,10年以上(!?),ある,ガナナイ(新潟),参加したい,普段一人で観戦なので大勢で見ることができ楽しかった。ある程度グループができてしまっていて入るのが中々難しかった。,"ブログ, Twitter, インスタ",さるさん、飛ばオラさん,ない,,,,,,,
2022/02/06 10:59:31,10年以上(!?),ある,"バッカスナイト(東京 池袋), Gooners Night (東京 新宿御苑)",もう参加したくない,"元々の仲良しばかりが集まり、上下関係もあり、新たに行くにはハードルが高すぎる。
仲間づくりがしたかったが、新規さんとだけ話して帰った。","ニュースサイト, Twitter, インスタ",,ある,公式のエブエ来日イベント,"恐らく、また古参と呼ばれるような方々が来るであろうから気が引ける。
みんなフラットな状態でのコミュニティならば関心がある。",,,,,
2022/02/06 10:59:51,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, Twitter",,ない,,,,,,,
2022/02/06 11:01:36,10年以上(!?),ない,,,,"ブログ, Twitter, ガナ速経由で各ブログ",グナ島さん、mygunnerさん、その他海外有力twitterアカウント,ない,,,,,,,
2022/02/06 11:04:19,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, Twitter",,ない,,,,,,,
2022/02/06 11:04:43,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,参加したい,,,,,
2022/02/06 11:12:08,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,,,,,,
2022/02/06 11:13:34,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,ニュースサイト,,,,,,,,,
